"key","en","ja"
"Resources","Resources","リソース"
"Autosave","Autosave","オートセーブ"
"Save Now","Save Now","今すぐセーブ"
"Import Save","Import Save","セーブをインポート"
"Hard Reset","Hard Reset","ハードリセット"
"Save and Quit","Save and Quit","セーブして終了"
"Music","Music","音楽"
"Sfx","Sfx","効果音"
"Mute when
minimized","Mute when
minimized","最小化時に
ミュート"
"Number Display:","Number Display:","数値の表記:"
"Theme:","Theme:","テーマ:"
"UI Scale:","UI Scale:","UIのスケール:"
"Long press speed: ","Long press speed: ","長押しの速度: "
"Shortcut bar: ","Shortcut bar: ","ショートカットバー: "
"Resource/Damage Indicators","Resource/Damage Indicators","リソース/ダメージ インジケーター"
"Short Suffix","Short Suffix","短縮接尾辞"
"Scientific","Scientific","科学的"
"Restore Cosmic Wall","Restore Cosmic Wall","宇宙の壁を復元"
"Keep Playing","Keep Playing","プレイを続ける"
"Begin!","Begin!","開始!"
