"key","en","ja"
"theme.environmental.name","Earthen","自然"
"theme.gilded.name","Gilded","金メッキ"
"theme.inverted.name","Inverted","反転"
"theme.magical.name","Magical","魔法"
"theme.sunset.name","Sunset","日没"
"theme.twilight.name","Twilight","黄昏"
"action.area_press.name","Area Press","エリアプレス"
"action.buy_many.name","Buy Many Modifier","まとめ買い"
"action.fps.name","Toggle FPS","FPS表示切替"
"action.fullscreen.name","Fullscreen","フルスクリーン"
"action.go_to_academy.name","Go To Academy","アカデミーへ移動"
"action.go_to_building.name","Go To Building","建物へ移動"
"action.go_to_dragon_nest.name","Go To Dragon Nest","ドラゴンネストへ移動"
"action.go_to_embassy.name","Go To Embassy","大使館へ移動"
"action.go_to_forestry.name","Go To Forestry","林業へ移動"
"action.go_to_observatory.name","Go To Observatory","天文台へ移動"
"action.go_to_orb.name","Go To Orb","オーブへ移動"
"action.go_to_prestige.name","Go To Prestige","プレステージへ移動"
"action.go_to_relics.name","Go To Alchemy Lab","錬金術ラボへ移動"
"action.go_to_runecraft.name","Go To Runecraft","ルーンクラフトへ移動"
"action.go_to_sorcery.name","Go To Sorcery","ソーサリーへ移動"
"action.go_to_study.name","Go To Study","書斎へ移動"
"action.go_to_temple.name","Go To Temple","寺院へ移動"
"action.go_to_wall_wizard.name","Go To Wall Wizard","ウォールウィザードへ移動"
"action.joypad_zoom_in.name","Zoom In (Joypad)","ズームイン (ゲームパッド)"
"action.joypad_zoom_out.name","Zoom Out (Joypad)","ズームアウト (ゲームパッド)"
"action.keyboard_zoom_in.name","Zoom In (Keyboard)","ズームイン (キーボード)"
"action.keyboard_zoom_out.name","Zoom Out (Keyboard)","ズームアウト (キーボード)"
"action.up.name","Move Up","上へ移動"
"action.down.name","Move Down","下へ移動"
"action.left.name","Move Left","左へ移動"
"action.right.name","Move Right","右へ移動"
"blessing.academy_blessing.name","Blessing of Research","研究の祝福"
"blessing.academy_blessing.description","When research subjects in The Academy level up, they gain {mult} extra level(s)","アカデミーの研究対象がレベルアップするたび、追加で{mult}レベルを獲得する"
